9	3	5	5	5	5	5	5	5	5	5	29	12	7	2	7	6	7	9	9	11	12	12.5	12.67	12.8	0
9	4	-3	-3	-3	-3	-3	-3	-3	-3	-3	-9	2	6	0	-4	-4	-4	-5	-6	-7	-6	-6.2	-6.72	-7.2	0
9	5	-2	-2	-2	-2	-2	-2	-2	-3	-3	4	2	-2	-3	-5	-5	-5	-6	-6	-7	-8	-8.4	-8.16	-7.4	0
9	6	8	8	8	8	9	9	9	9	9	9	8	10	9	10	10	10	9	9	9	8	8.4	8.1	8	0
9	7	10	10	10	10	10	10	10	11	11	6	8	7	8	10	11	11	10	9	8	5	3.8	2.92	2.2	0
9	8	-2	-2	-2	-2	-2	-2	-2	-2	-2	1	-11	-6	0	-4	-2	-3	-6	-7	-7	-8	-8.2	-7.73	-6.1	0
9	9	2	2	2	2	2	2	2	2	2	8	-7	5	5	1	1	1	2	2	2	3	4.8	6.01	7	0
10	1	2	2	2	2	2	2	2	2	2	5	13	-4	4	2	1	1	1	1	2	1	1.7	2.19	2.8	0
10	2	1	1	1	1	1	1	1	1	1	1	-2	0	1	1	1	1	0	0	1	0	0	0.1	-0.1	0
10	3	2	2	2	2	2	2	2	2	2	-20	-10	-8	0	2	3	3	3	3	3	4	4	4.46	4.7	0
10	4	6	6	6	6	6	6	6	6	6	-1	2	-2	2	6	4	4	6	6	6	5	4.9	4.76	4.4	0
10	5	-4	-4	-4	-4	-4	-4	-4	-4	-4	-6	-3	-4	-5	-4	-4	-4	-4	-4	-4	-5	-5.9	-6.58	-7.2	0
10	6	0	0	0	0	0	0	0	0	0	6	6	1	1	0	0	-1	0	0	0	-1	-1.2	-1.01	-1	0
10	7	-2	-2	-2	-2	-2	-2	-2	-1	-1	-4	-3	-3	-1	-2	-1	-1	-1	-1	-2	-2	-2.9	-3.47	-4	0
10	8	4	4	4	4	4	4	4	4	4	-2	6	7	6	3	3	3	4	4	3	1	0.2	-0.86	-2	0
10	9	0	0	0	0	0	0	0	0	0	0	11	-1	0	0	1	1	0	0	-1	-2	-2.2	-2.31	-2	0
10	10	-6	-6	-6	-6	-6	-6	-6	-6	-6	-2	8	-3	-7	-6	-4	-5	-6	-6	-6	-7	-7.4	-7.93	-8.3	0
11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.26	0.1	0
11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	1.44	1.7	0
11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.9	-0.77	-0.6	0
11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.6	-2.27	-1.8	0
11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0.9	0.9	0
11	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7	-0.58	-0.4	0
11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.8	-2.69	-2.5	0
