8	2	-4	-4	-4	-4	-3	-3	-3	-3	-3	-8	-4	-6	-4	-4	-2	-1	0	0	-1	-6	-9.2	-11.73	-14.5	-0.5
8	3	-9	-9	-9	-9	-9	-9	-9	-9	-10	-5	-1	-14	-11	-14	-13	-12	-11	-11	-10	-9	-7.9	-6.88	-5.7	0.3
8	4	1	1	1	2	2	2	2	1	1	9	11	6	2	0	-3	-8	-7	-9	-12	-14	-16.6	-18.11	-19.3	-0.3
8	5	2	2	2	3	4	4	5	6	6	7	15	10	10	8	5	4	4	4	3	9	9.1	10.17	11.6	0.3
8	6	-9	-8	-8	-8	-7	-7	-6	-6	-5	-10	-13	-7	-5	-1	0	0	3	4	4	6	7	9.36	10.9	0.2
8	7	5	5	5	6	6	7	8	8	9	7	5	6	10	11	11	10	6	4	2	-5	-7.9	-11.25	-14.1	-0.5
8	8	8	8	8	8	8	8	8	7	7	2	-1	9	8	4	3	1	-1	-4	-6	-7	-7	-4.87	-3.7	0.2
9	0	8	8	8	8	8	8	8	8	8	5	3	4	4	8	8	7	5	5	4	4	5	5.58	5.4	0
9	1	10	10	10	10	10	10	10	10	10	-21	-7	9	6	10	10	10	10	10	9	9	9.4	9.76	9.4	0
9	2	1	1	1	1	1	1	1	1	1	1	-1	-4	0	2	2	2	1	1	1	3	3	3.58	3.4	0
9	3	-11	-11	-11	-11	-11	-11	-12	-12	-12	-11	-25	-5	-9	-13	-12	-12	-12	-12	-12	-10	-8.4	-6.94	-5.3	0
9	4	12	12	12	12	12	12	12	11	11	3	10	2	1	10	10	10	9	9	9	8	6.3	5.01	3.1	0
9	5	1	1	1	1	1	1	1	1	1	16	5	4	4	-1	-1	-1	-3	-3	-4	-8	-8.9	-10.76	-12.4	0
9	6	-2	-2	-2	-2	-2	-2	-2	-2	-2	-3	-5	1	-1	-1	0	-1	-1	-1	-2	-1	-1.5	-1.25	-0.8	0
9	7	2	2	2	2	2	2	3	3	3	-4	-2	2	-2	5	3	4	7	7	7	10	9.3	8.76	8.4	0
9	8	-1	0	0	0	0	0	0	0	1	-3	3	2	3	1	1	1	2	1	1	-2	-4.3	-6.66	-8.4	0
9	9	-1	-1	-1	-1	-1	-1	-2	-2	-2	-4	8	5	-1	-2	-1	-2	-5	-5	-6	-8	-8.2	-9.22	-10.1	0
10	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-8	-3	1	-2	-3	-3	-4	-4	-3	-3	-2.6	-2.17	-2	0
10	1	-4	-4	-4	-4	-4	-4	-4	-4	-4	11	4	-5	-3	-3	-3	-3	-4	-4	-4	-6	-6	-6.12	-6.3	0
10	2	2	2	2	2	2	2	2	2	2	1	-1	-1	4	2	2	2	2	3	2	2	1.7	1.42	0.9	0
10	3	-5	-5	-5	-5	-5	-5	-5	-5	-5	2	13	2	0	-5	-5	-5	-5	-5	-5	-4	-3.1	-2.35	-1.1	0
10	4	-2	-2	-2	-2	-2	-2	-2	-2	-2	-5	-4	-3	-1	-2	-1	-2	-2	-2	-2	-1	-0.5	-0.15	-0.2	0
10	5	6	6	6	6	6	6	6	6	6	-1	4	7	4	4	6	5	5	5	4	4	3.7	3.06	2.5	0
10	6	4	4	4	4	4	4	4	4	4	8	12	4	6	4	4	4	3	3	3	2	1	0.29	-0.3	0
10	7	0	0	0	0	0	0	0	0	0	-1	3	-2	1	0	1	1	1	1	1	2	2	2.06	2.2	0
10	8	2	2	2	1	1	1	1	2	2	-3	2	6	-1	2	0	0	2	2	3	5	4.2	3.77	3.1	0
10	9	2	2	2	2	3	3	3	3	3	5	10	-2	2	2	3	3	3	3	3	1	0.3	-0.21	-1	0
10	10	0	0	0	0	0	0	0	0	0	-2	3	0	0	0	-1	-1	0	0	0	0	-1.1	-2.09	-2.8	0
